Vgs,Igs,Vds,Ids
0.0,0.001,5.001,0.0
0.005,0.001,5.001,0.0
0.01,0.001,5.001,0.0
0.015,0.001,5.001,0.0
0.02,0.001,5.001,0.0
0.025,0.001,5.001,0.0
0.029,0.001,5.001,0.0
0.034,0.001,5.001,0.0
0.039,0.001,5.001,0.0
0.045,0.001,5.001,0.0
0.05,0.001,5.001,0.0
0.055,0.001,5.001,0.0
0.06,0.001,5.001,0.0
0.065,0.001,5.001,0.0
0.07,0.001,5.001,0.0
0.075,0.001,5.001,0.0
0.08,0.001,5.001,0.0
0.085,0.001,5.001,0.0
0.09,0.001,5.001,0.0
0.095,0.001,5.001,0.0
0.1,0.001,5.001,0.0
0.104,0.001,5.001,0.0
0.109,0.001,5.001,0.0
0.114,0.001,5.001,0.0
0.119,0.001,5.001,0.0
0.124,0.001,5.001,0.0
0.129,0.001,5.001,0.0
0.134,0.001,5.001,0.0
0.139,0.001,5.001,0.0
0.144,0.001,5.001,0.0
0.149,0.001,5.001,0.0
0.154,0.001,5.001,0.0
0.16,0.001,5.001,0.0
0.165,0.001,5.001,0.0
0.17,0.001,5.001,0.0
0.175,0.001,5.001,0.0
0.18,0.001,5.001,0.0
0.185,0.001,5.001,0.0
0.19,0.001,5.001,0.0
0.195,0.001,5.001,0.0
0.2,0.001,5.001,0.0
0.205,0.001,5.001,0.0
0.21,0.001,5.001,0.0
0.215,0.001,5.001,0.0
0.22,0.001,5.001,0.0
0.225,0.001,5.001,0.0
0.23,0.001,5.001,0.0
0.235,0.001,5.001,0.0
0.24,0.001,5.001,0.0
0.245,0.001,5.001,0.0
0.25,0.001,5.001,0.0
0.254,0.001,5.001,0.0
0.259,0.001,5.001,0.0
0.264,0.001,5.001,0.0
0.269,0.001,5.001,0.0
0.275,0.001,5.001,0.0
0.28,0.001,5.001,0.0
0.285,0.001,5.001,0.0
0.29,0.001,5.001,0.0
0.295,0.001,5.001,0.0
0.3,0.001,5.001,0.0
0.305,0.001,5.001,0.0
0.31,0.001,5.0,0.0
0.315,0.001,5.001,0.0
0.32,0.001,5.001,0.0
0.324,0.001,5.001,0.0
0.329,0.001,5.001,0.0
0.335,0.001,5.001,0.0
0.34,0.001,5.001,0.0
0.345,0.001,5.001,0.0
0.35,0.001,5.001,0.0
0.355,0.001,5.0,0.0
0.36,0.001,5.001,0.0
0.365,0.001,5.001,0.0
0.37,0.001,5.0,0.0
0.375,0.001,5.0,0.0
0.38,0.001,5.001,0.0
0.385,0.001,5.0,0.0
0.39,0.001,5.0,0.0
0.395,0.001,5.0,0.0
0.4,0.001,5.0,0.0
0.405,0.001,5.0,0.0
0.41,0.001,5.0,0.0
0.415,0.001,5.0,0.0
0.42,0.001,5.0,0.0
0.425,0.001,5.0,0.0
0.43,0.001,5.0,0.0
0.435,0.001,5.0,0.0
0.44,0.001,5.0,0.0
0.445,0.001,5.0,0.0
0.45,0.001,5.0,0.0
0.455,0.001,5.0,0.0
0.46,0.001,5.0,0.0
0.465,0.001,5.0,0.0
0.47,0.001,5.0,0.0
0.474,0.001,5.0,0.0
0.479,0.001,5.0,0.0
0.484,0.001,5.0,0.0
0.489,0.001,5.0,0.0
0.495,0.001,5.0,0.0
0.499,0.001,5.0,0.0
0.505,0.001,5.0,0.0
0.51,0.001,5.0,0.0
0.515,0.001,5.0,0.0
0.52,0.001,5.0,0.0
0.525,0.001,5.0,0.0
0.53,0.001,5.0,0.0
0.535,0.001,5.0,0.0
0.54,0.001,5.0,0.0
0.545,0.001,5.0,0.0
0.55,0.001,5.0,0.0
0.555,0.001,5.0,0.0
0.56,0.001,5.0,0.0
0.565,0.001,5.0,0.0
0.57,0.001,5.0,0.0
0.575,0.001,5.0,0.0
0.58,0.001,5.0,0.0
0.585,0.001,5.0,0.0
0.59,0.001,5.0,0.0
0.595,0.001,5.0,0.0
0.6,0.001,5.0,0.0
0.605,0.001,5.0,0.0
0.61,0.001,5.0,0.0
0.615,0.001,5.0,0.0
0.621,0.001,5.0,0.0
0.625,0.001,5.0,0.0
0.63,0.001,5.0,0.0
0.635,0.001,5.0,0.0
0.64,0.001,5.0,0.0
0.645,0.001,5.0,0.0
0.65,0.001,5.0,0.0
0.655,0.001,5.0,0.0
0.661,0.001,5.0,0.0
0.666,0.001,5.0,0.0
0.671,0.001,5.0,0.0
0.676,0.001,5.0,0.0
0.681,0.001,5.0,0.0
0.686,0.001,5.0,0.0
0.691,0.001,5.0,0.0
0.695,0.001,5.0,0.0
0.7,0.001,5.0,0.0
0.705,0.001,5.0,0.0
0.71,0.001,5.0,0.0
0.715,0.001,5.0,0.0
0.72,0.001,5.0,0.0
0.725,0.001,5.0,0.0
0.73,0.001,5.0,0.0
0.735,0.001,5.0,0.0
0.74,0.001,5.0,0.0
0.745,0.001,5.0,0.0
0.75,0.001,5.0,0.0
0.755,0.001,5.0,0.0
0.76,0.001,5.0,0.0
0.765,0.001,5.0,0.0
0.77,0.001,5.0,0.0
0.775,0.001,5.0,0.0
0.78,0.001,5.0,0.0
0.785,0.001,5.0,0.0
0.79,0.001,5.0,0.0
0.795,0.001,5.0,0.0
0.8,0.001,5.0,0.0
0.805,0.001,5.0,0.0
0.81,0.001,5.0,0.0
0.815,0.001,5.0,0.0
0.82,0.001,5.0,0.0
0.825,0.001,5.0,0.0
0.83,0.001,5.0,0.0
0.835,0.001,5.0,0.0
0.84,0.001,5.0,0.0
0.844,0.001,5.0,0.0
0.849,0.001,5.0,0.0
0.854,0.001,5.0,0.0
0.859,0.001,5.0,0.0
0.864,0.001,5.0,0.0
0.87,0.001,5.0,0.0
0.875,0.001,5.0,0.0
0.88,0.001,5.0,0.0
0.885,0.001,5.0,0.0
0.89,0.001,5.0,0.0
0.895,0.001,5.0,0.0
0.9,0.001,5.0,0.0
0.905,0.001,5.0,0.0
0.91,0.001,5.0,0.0
0.915,0.001,5.0,0.0
0.92,0.001,5.0,0.0
0.925,0.001,5.0,0.0
0.93,0.001,5.0,0.0
0.935,0.001,5.0,0.0
0.94,0.001,5.0,0.0
0.945,0.001,5.0,0.0
0.95,0.001,5.0,0.0
0.955,0.001,5.0,0.0
0.96,0.001,5.0,0.0
0.965,0.001,5.0,0.0
0.97,0.001,5.0,0.0
0.976,0.001,5.0,0.0
0.981,0.001,5.0,0.0
0.986,0.001,5.0,0.0
0.991,0.001,5.0,0.0
0.995,0.001,5.0,0.0
1.0,0.001,5.0,0.0
1.005,0.001,5.0,0.0
1.01,0.001,5.0,0.0
1.015,0.001,5.0,0.0
1.02,0.001,5.0,0.0
1.025,0.001,5.0,0.0
1.03,0.001,5.0,0.0
1.035,0.001,5.0,0.0
1.04,0.001,5.0,0.0
1.045,0.001,5.0,0.0
1.05,0.001,5.0,0.0
1.055,0.001,5.0,0.0
1.06,0.001,5.0,0.0
1.065,0.001,5.0,0.0
1.07,0.001,5.0,0.0
1.075,0.001,5.0,0.0
1.08,0.001,5.0,0.0
1.085,0.001,5.0,0.0
1.09,0.001,5.0,0.0
1.095,0.001,5.0,0.0
1.1,0.001,5.0,0.0
1.105,0.001,5.0,0.0
1.11,0.001,5.0,0.0
1.115,0.001,5.0,0.0
1.12,0.001,5.0,0.0
1.125,0.001,5.0,0.0
1.13,0.001,5.0,0.0
1.135,0.001,5.0,0.0
1.14,0.001,5.0,0.0
1.145,0.001,5.0,0.0
1.15,0.001,5.0,0.0
1.155,0.001,5.0,0.0
1.16,0.001,5.0,0.0
1.165,0.001,5.0,0.0
1.17,0.001,5.0,0.0
1.175,0.001,5.0,0.0
1.18,0.001,5.0,0.0
1.185,0.001,5.0,0.0
1.19,0.001,5.0,0.0
1.195,0.001,5.0,0.0
1.2,0.001,5.0,0.0
1.205,0.001,5.0,0.0
1.21,0.001,5.0,0.0
1.214,0.001,5.0,0.0
1.22,0.001,5.0,0.0
1.225,0.001,5.0,0.0
1.23,0.001,5.0,0.0
1.235,0.001,5.0,0.0
1.24,0.001,5.0,0.0
1.245,0.001,5.0,0.0
1.25,0.001,5.0,0.0
1.255,0.001,5.0,0.001
1.26,0.001,5.0,0.0
1.265,0.001,5.0,0.001
1.27,0.001,5.0,0.0
1.275,0.001,5.0,0.0
1.28,0.001,5.0,0.0
1.285,0.001,5.0,0.001
1.29,0.001,5.0,0.0
1.295,0.001,5.0,0.0
1.3,0.001,5.0,0.0
1.305,0.001,5.0,0.0
1.31,0.001,5.0,0.0
1.315,0.001,5.0,0.0
1.32,0.001,5.0,0.0
1.325,0.001,5.0,0.001
1.33,0.001,5.0,0.001
1.336,0.001,5.0,0.0
1.341,0.001,5.0,0.001
1.345,0.001,5.0,0.001
1.35,0.001,5.0,0.001
1.355,0.001,5.0,0.001
1.361,0.001,5.0,0.001
1.365,0.001,5.0,0.001
1.37,0.001,5.0,0.001
1.374,0.001,5.0,0.001
1.379,0.001,5.0,0.001
1.385,0.001,5.0,0.001
1.39,0.001,5.0,0.001
1.395,0.001,5.0,0.001
1.4,0.001,5.0,0.001
1.405,0.001,5.0,0.001
1.41,0.001,5.0,0.001
1.415,0.001,5.0,0.001
1.42,0.001,5.0,0.001
1.425,0.001,5.0,0.001
1.43,0.001,5.0,0.001
1.435,0.001,5.0,0.001
1.44,0.001,5.0,0.001
1.445,0.001,5.0,0.001
1.45,0.001,5.0,0.001
1.455,0.001,5.0,0.001
1.46,0.001,5.0,0.001
1.465,0.001,5.0,0.001
1.47,0.001,5.0,0.001
1.475,0.001,5.0,0.001
1.48,0.001,5.0,0.001
1.485,0.001,5.0,0.001
1.49,0.001,5.0,0.001
1.495,0.001,5.0,0.001
1.5,0.001,5.0,0.001
1.505,0.001,5.0,0.001
1.509,0.001,5.0,0.001
1.514,0.001,5.0,0.001
1.519,0.001,5.0,0.001
1.524,0.001,5.0,0.001
1.53,0.001,5.0,0.001
1.535,0.001,5.0,0.001
1.54,0.001,5.0,0.001
1.545,0.001,5.0,0.001
1.55,0.001,5.0,0.001
1.555,0.001,5.0,0.001
1.56,0.001,5.0,0.001
1.565,0.001,5.0,0.002
1.57,0.001,5.0,0.002
1.575,0.001,5.0,0.002
1.58,0.001,5.0,0.002
1.585,0.001,5.0,0.002
1.59,0.001,5.0,0.002
1.595,0.001,5.0,0.002
1.6,0.001,5.0,0.002
1.605,0.001,5.0,0.002
1.61,0.001,5.0,0.002
1.615,0.001,5.0,0.003
1.62,0.001,5.0,0.003
1.625,0.001,5.0,0.003
1.63,0.001,5.0,0.003
1.635,0.001,5.0,0.003
1.64,0.001,5.0,0.003
1.645,0.001,5.0,0.004
1.65,0.001,5.0,0.004
1.655,0.001,5.0,0.004
1.66,0.001,5.0,0.004
1.665,0.001,5.0,0.004
1.67,0.001,5.0,0.005
1.675,0.001,5.0,0.005
1.68,0.001,5.0,0.005
1.685,0.001,5.0,0.006
1.69,0.001,5.0,0.006
1.695,0.001,5.0,0.007
1.7,0.001,5.0,0.007
1.705,0.001,5.0,0.007
1.71,0.001,5.0,0.008
1.715,0.001,5.0,0.008
1.72,0.001,5.0,0.009
1.725,0.001,5.0,0.009
1.73,0.001,5.0,0.01
1.734,0.001,5.0,0.01
1.739,0.001,5.0,0.011
1.744,0.001,5.0,0.012
1.749,0.001,5.0,0.013
1.755,0.001,5.0,0.013
1.76,0.001,5.0,0.014
1.765,0.001,5.0,0.015
1.77,0.001,5.0,0.016
1.775,0.001,5.0,0.017
1.78,0.001,5.0,0.018
1.785,0.001,5.0,0.019
1.79,0.001,5.0,0.021
1.795,0.001,5.0,0.022
1.8,0.001,5.0,0.023
1.805,0.001,5.0,0.025
1.81,0.001,5.0,0.026
1.815,0.001,5.0,0.028
1.82,0.001,5.0,0.03
1.825,0.001,5.0,0.032
1.83,0.001,5.0,0.034
1.835,0.001,5.0,0.036
1.84,0.001,5.0,0.038
1.845,0.001,5.0,0.041
1.85,0.001,5.0,0.043
1.855,0.001,5.0,0.046
1.86,0.001,5.0,0.049
1.865,0.001,5.0,0.052
1.87,0.001,5.0,0.055
1.875,0.001,5.0,0.059
1.879,0.001,5.0,0.062
1.885,0.001,5.0,0.067
1.89,0.001,5.0,0.071
1.895,0.001,5.0,0.076
1.9,0.001,5.0,0.081
1.905,0.001,5.0,0.086
1.91,0.001,5.0,0.092
1.915,0.001,5.0,0.098
1.92,0.001,5.0,0.105
1.925,0.001,5.0,0.112
1.93,0.001,5.0,0.12
1.935,0.001,5.0,0.128
1.94,0.001,5.0,0.136
1.945,0.001,5.0,0.146
1.95,0.001,5.0,0.156
1.955,0.001,5.0,0.168
1.96,0.001,5.0,0.179
1.965,0.001,5.0,0.193
1.97,0.001,5.0,0.209
1.975,0.001,5.0,0.223
1.98,0.001,5.0,0.242
1.985,0.001,5.0,0.26
1.99,0.001,5.0,0.283
1.995,0.001,5.0,0.303
2.0,0.001,5.0,0.331
2.005,0.001,5.0,0.361
2.01,0.001,5.0,0.389
2.015,0.001,5.0,0.427
2.02,0.001,5.0,0.462
2.025,0.001,5.0,0.511
2.029,0.001,5.0,0.552
2.034,0.001,5.0,0.614
2.04,0.001,5.0,0.668
2.045,0.001,5.0,0.751
2.05,0.001,5.0,0.849
2.055,0.001,5.0,0.936
2.06,0.001,5.0,1.076
2.065,0.001,5.0,1.198
2.07,0.001,5.0,1.395
2.075,0.001,5.0,1.564
2.08,0.001,5.0,1.857
2.085,0.001,5.0,2.234
2.09,0.001,5.0,2.571
2.095,0.001,5.0,3.2
2.1,0.001,3.096,3.2
2.105,0,0,3.2
2.11,0,0,3.2
2.115,0,0,3.2
2.12,0,0,3.2
