Vgs,Igs,Vds,Ids
2.125,0,0,3.2
2.13,0,0,3.2
2.1350000000000002,0,0,3.2
2.14,0,0,3.2
2.145,0,0,3.2
2.15,0,0,3.2
2.1550000000000002,0,0,3.2
2.16,0,0,3.2
2.165,0,0,3.2
2.17,0,0,3.2
2.1750000000000003,0,0,3.2
2.18,0,0,3.2
2.185,0,0,3.2
2.19,0,0,3.2
2.195,0,0,3.2
2.2,0,0,3.2
2.205,0,0,3.2
2.21,0,0,3.2
2.215,0,0,3.2
2.22,0,0,3.2
2.225,0,0,3.2
2.23,0,0,3.2
2.235,0,0,3.2
2.24,0,0,3.2
2.245,0,0,3.2
2.25,0,0,3.2
2.255,0,0,3.2
2.2600000000000002,0,0,3.2
2.265,0,0,3.2
2.27,0,0,3.2
2.275,0,0,3.2
2.2800000000000002,0,0,3.2
2.285,0,0,3.2
2.29,0,0,3.2
2.295,0,0,3.2
2.3000000000000003,0,0,3.2
2.305,0,0,3.2
2.31,0,0,3.2
2.315,0,0,3.2
2.32,0,0,3.2
2.325,0,0,3.2
2.33,0,0,3.2
2.335,0,0,3.2
2.34,0,0,3.2
2.345,0,0,3.2
2.35,0,0,3.2
2.355,0,0,3.2
2.36,0,0,3.2
2.365,0,0,3.2
2.37,0,0,3.2
2.375,0,0,3.2
2.38,0,0,3.2
2.3850000000000002,0,0,3.2
2.39,0,0,3.2
2.395,0,0,3.2
2.4,0,0,3.2
2.4050000000000002,0,0,3.2
2.41,0,0,3.2
2.415,0,0,3.2
2.42,0,0,3.2
2.4250000000000003,0,0,3.2
2.43,0,0,3.2
2.435,0,0,3.2
2.44,0,0,3.2
2.445,0,0,3.2
2.45,0,0,3.2
2.455,0,0,3.2
2.46,0,0,3.2
2.465,0,0,3.2
2.47,0,0,3.2
2.475,0,0,3.2
2.48,0,0,3.2
2.485,0,0,3.2
2.49,0,0,3.2
2.495,0,0,3.2
2.5,0,0,3.2
2.505,0,0,3.2
2.5100000000000002,0,0,3.2
2.515,0,0,3.2
2.52,0,0,3.2
2.525,0,0,3.2
2.5300000000000002,0,0,3.2
2.535,0,0,3.2
2.54,0,0,3.2
2.545,0,0,3.2
2.5500000000000003,0,0,3.2
2.555,0,0,3.2
2.56,0,0,3.2
2.565,0,0,3.2
2.57,0,0,3.2
2.575,0,0,3.2
2.58,0,0,3.2
2.585,0,0,3.2
2.59,0,0,3.2
2.595,0,0,3.2
2.6,0,0,3.2
2.605,0,0,3.2
2.61,0,0,3.2
2.615,0,0,3.2
2.62,0,0,3.2
2.625,0,0,3.2
2.63,0,0,3.2
2.6350000000000002,0,0,3.2
2.64,0,0,3.2
2.645,0,0,3.2
2.65,0,0,3.2
2.6550000000000002,0,0,3.2
2.66,0,0,3.2
2.665,0,0,3.2
2.67,0,0,3.2
2.6750000000000003,0,0,3.2
2.68,0,0,3.2
2.685,0,0,3.2
2.69,0,0,3.2
2.695,0,0,3.2
2.7,0,0,3.2
2.705,0,0,3.2
2.71,0,0,3.2
2.715,0,0,3.2
2.72,0,0,3.2
2.725,0,0,3.2
2.73,0,0,3.2
2.735,0,0,3.2
2.74,0,0,3.2
2.745,0,0,3.2
2.75,0,0,3.2
2.755,0,0,3.2
2.7600000000000002,0,0,3.2
2.765,0,0,3.2
2.77,0,0,3.2
2.775,0,0,3.2
2.7800000000000002,0,0,3.2
2.785,0,0,3.2
2.79,0,0,3.2
2.795,0,0,3.2
2.8000000000000003,0,0,3.2
2.805,0,0,3.2
2.81,0,0,3.2
2.815,0,0,3.2
2.82,0,0,3.2
2.825,0,0,3.2
2.83,0,0,3.2
2.835,0,0,3.2
2.84,0,0,3.2
2.845,0,0,3.2
2.85,0,0,3.2
2.855,0,0,3.2
2.86,0,0,3.2
2.865,0,0,3.2
2.87,0,0,3.2
2.875,0,0,3.2
2.88,0,0,3.2
2.8850000000000002,0,0,3.2
2.89,0,0,3.2
2.895,0,0,3.2
2.9,0,0,3.2
2.9050000000000002,0,0,3.2
2.91,0,0,3.2
2.915,0,0,3.2
2.92,0,0,3.2
2.9250000000000003,0,0,3.2
2.93,0,0,3.2
2.935,0,0,3.2
2.94,0,0,3.2
2.945,0,0,3.2
2.95,0,0,3.2
2.955,0,0,3.2
2.96,0,0,3.2
2.965,0,0,3.2
2.97,0,0,3.2
2.975,0,0,3.2
2.98,0,0,3.2
2.985,0,0,3.2
2.99,0,0,3.2
2.995,0,0,3.2
3.0,0,0,3.2
3.005,0,0,3.2
3.0100000000000002,0,0,3.2
3.015,0,0,3.2
3.02,0,0,3.2
3.025,0,0,3.2
3.0300000000000002,0,0,3.2
3.035,0,0,3.2
3.04,0,0,3.2
3.045,0,0,3.2
3.0500000000000003,0,0,3.2
3.055,0,0,3.2
3.06,0,0,3.2
3.065,0,0,3.2
3.0700000000000003,0,0,3.2
3.075,0,0,3.2
3.08,0,0,3.2
3.085,0,0,3.2
3.09,0,0,3.2
3.095,0,0,3.2
3.1,0,0,3.2
3.105,0,0,3.2
3.11,0,0,3.2
3.115,0,0,3.2
3.12,0,0,3.2
3.125,0,0,3.2
3.13,0,0,3.2
3.1350000000000002,0,0,3.2
3.14,0,0,3.2
3.145,0,0,3.2
3.15,0,0,3.2
3.1550000000000002,0,0,3.2
3.16,0,0,3.2
3.165,0,0,3.2
3.17,0,0,3.2
3.1750000000000003,0,0,3.2
3.18,0,0,3.2
3.185,0,0,3.2
3.19,0,0,3.2
3.1950000000000003,0,0,3.2
3.2,0,0,3.2
3.205,0,0,3.2
3.21,0,0,3.2
3.215,0,0,3.2
3.22,0,0,3.2
3.225,0,0,3.2
3.23,0,0,3.2
3.235,0,0,3.2
3.24,0,0,3.2
3.245,0,0,3.2
3.25,0,0,3.2
3.255,0,0,3.2
3.2600000000000002,0,0,3.2
3.265,0,0,3.2
3.27,0,0,3.2
3.275,0,0,3.2
3.2800000000000002,0,0,3.2
3.285,0,0,3.2
3.29,0,0,3.2
3.295,0,0,3.2
3.3000000000000003,0,0,3.2
3.305,0,0,3.2
3.31,0,0,3.2
3.315,0,0,3.2
3.3200000000000003,0,0,3.2
3.325,0,0,3.2
3.33,0,0,3.2
3.335,0,0,3.2
3.34,0,0,3.2
3.345,0,0,3.2
3.35,0,0,3.2
3.355,0,0,3.2
3.36,0,0,3.2
3.365,0,0,3.2
3.37,0,0,3.2
3.375,0,0,3.2
3.38,0,0,3.2
3.3850000000000002,0,0,3.2
3.39,0,0,3.2
3.395,0,0,3.2
3.4,0,0,3.2
3.4050000000000002,0,0,3.2
3.41,0,0,3.2
3.415,0,0,3.2
3.42,0,0,3.2
3.4250000000000003,0,0,3.2
3.43,0,0,3.2
3.435,0,0,3.2
3.44,0,0,3.2
3.4450000000000003,0,0,3.2
3.45,0,0,3.2
3.455,0,0,3.2
3.46,0,0,3.2
3.465,0,0,3.2
3.47,0,0,3.2
3.475,0,0,3.2
3.48,0,0,3.2
3.485,0,0,3.2
3.49,0,0,3.2
3.495,0,0,3.2
3.5,0,0,3.2
3.505,0,0,3.2
3.5100000000000002,0,0,3.2
3.515,0,0,3.2
3.52,0,0,3.2
3.525,0,0,3.2
3.5300000000000002,0,0,3.2
3.535,0,0,3.2
3.54,0,0,3.2
3.545,0,0,3.2
3.5500000000000003,0,0,3.2
3.555,0,0,3.2
3.56,0,0,3.2
3.565,0,0,3.2
3.5700000000000003,0,0,3.2
3.575,0,0,3.2
3.58,0,0,3.2
3.585,0,0,3.2
3.59,0,0,3.2
3.595,0,0,3.2
3.6,0,0,3.2
3.605,0,0,3.2
3.61,0,0,3.2
3.615,0,0,3.2
3.62,0,0,3.2
3.625,0,0,3.2
3.63,0,0,3.2
3.6350000000000002,0,0,3.2
3.64,0,0,3.2
3.645,0,0,3.2
3.65,0,0,3.2
3.6550000000000002,0,0,3.2
3.66,0,0,3.2
3.665,0,0,3.2
3.67,0,0,3.2
3.6750000000000003,0,0,3.2
3.68,0,0,3.2
3.685,0,0,3.2
3.69,0,0,3.2
3.6950000000000003,0,0,3.2
3.7,0,0,3.2
3.705,0,0,3.2
3.71,0,0,3.2
3.715,0,0,3.2
3.72,0,0,3.2
3.725,0,0,3.2
3.73,0,0,3.2
3.735,0,0,3.2
3.74,0,0,3.2
3.745,0,0,3.2
3.75,0,0,3.2
3.755,0,0,3.2
3.7600000000000002,0,0,3.2
3.765,0,0,3.2
3.77,0,0,3.2
3.775,0,0,3.2
3.7800000000000002,0,0,3.2
3.785,0,0,3.2
3.79,0,0,3.2
3.795,0,0,3.2
3.8000000000000003,0,0,3.2
3.805,0,0,3.2
3.81,0,0,3.2
3.815,0,0,3.2
3.8200000000000003,0,0,3.2
3.825,0,0,3.2
3.83,0,0,3.2
3.835,0,0,3.2
3.84,0,0,3.2
3.845,0,0,3.2
3.85,0,0,3.2
3.855,0,0,3.2
3.86,0,0,3.2
3.865,0,0,3.2
3.87,0,0,3.2
3.875,0,0,3.2
3.88,0,0,3.2
3.8850000000000002,0,0,3.2
3.89,0,0,3.2
3.895,0,0,3.2
3.9,0,0,3.2
3.9050000000000002,0,0,3.2
3.91,0,0,3.2
3.915,0,0,3.2
3.92,0,0,3.2
3.9250000000000003,0,0,3.2
3.93,0,0,3.2
3.935,0,0,3.2
3.94,0,0,3.2
3.9450000000000003,0,0,3.2
3.95,0,0,3.2
3.955,0,0,3.2
3.96,0,0,3.2
3.9650000000000003,0,0,3.2
3.97,0,0,3.2
3.975,0,0,3.2
3.98,0,0,3.2
3.985,0,0,3.2
3.99,0,0,3.2
3.995,0,0,3.2
4.0,0,0,3.2
4.005,0,0,3.2
4.01,0,0,3.2
4.015,0,0,3.2
4.0200000000000005,0,0,3.2
4.025,0,0,3.2
4.03,0,0,3.2
4.035,0,0,3.2
4.04,0,0,3.2
4.045,0,0,3.2
4.05,0,0,3.2
4.055,0,0,3.2
4.0600000000000005,0,0,3.2
4.065,0,0,3.2
4.07,0,0,3.2
4.075,0,0,3.2
4.08,0,0,3.2
4.085,0,0,3.2
4.09,0,0,3.2
4.095,0,0,3.2
4.1,0,0,3.2
4.105,0,0,3.2
4.11,0,0,3.2
4.115,0,0,3.2
4.12,0,0,3.2
4.125,0,0,3.2
4.13,0,0,3.2
4.135,0,0,3.2
4.14,0,0,3.2
4.1450000000000005,0,0,3.2
4.15,0,0,3.2
4.155,0,0,3.2
4.16,0,0,3.2
4.165,0,0,3.2
4.17,0,0,3.2
4.175,0,0,3.2
4.18,0,0,3.2
4.1850000000000005,0,0,3.2
4.19,0,0,3.2
4.195,0,0,3.2
4.2,0,0,3.2
4.205,0,0,3.2
4.21,0,0,3.2
4.215,0,0,3.2
4.22,0,0,3.2
4.225,0,0,3.2
4.23,0,0,3.2
4.235,0,0,3.2
4.24,0,0,3.2
4.245,0,0,3.2
4.25,0,0,3.2
4.255,0,0,3.2
4.26,0,0,3.2
4.265,0,0,3.2
4.2700000000000005,0,0,3.2
4.275,0,0,3.2
4.28,0,0,3.2
4.285,0,0,3.2
4.29,0,0,3.2
4.295,0,0,3.2
4.3,0,0,3.2
4.305,0,0,3.2
4.3100000000000005,0,0,3.2
4.315,0,0,3.2
4.32,0,0,3.2
4.325,0,0,3.2
4.33,0,0,3.2
4.335,0,0,3.2
4.34,0,0,3.2
4.345,0,0,3.2
4.3500000000000005,0,0,3.2
4.355,0,0,3.2
4.36,0,0,3.2
4.365,0,0,3.2
4.37,0,0,3.2
4.375,0,0,3.2
4.38,0,0,3.2
4.385,0,0,3.2
4.39,0,0,3.2
4.3950000000000005,0,0,3.2
4.4,0,0,3.2
4.405,0,0,3.2
4.41,0,0,3.2
4.415,0,0,3.2
4.42,0,0,3.2
4.425,0,0,3.2
4.43,0,0,3.2
4.4350000000000005,0,0,3.2
4.44,0,0,3.2
4.445,0,0,3.2
4.45,0,0,3.2
4.455,0,0,3.2
4.46,0,0,3.2
4.465,0,0,3.2
4.47,0,0,3.2
4.4750000000000005,0,0,3.2
4.48,0,0,3.2
4.485,0,0,3.2
4.49,0,0,3.2
4.495,0,0,3.2
4.5,0,0,3.2
4.505,0,0,3.2
4.51,0,0,3.2
4.515,0,0,3.2
4.5200000000000005,0,0,3.2
4.525,0,0,3.2
4.53,0,0,3.2
4.535,0,0,3.2
4.54,0,0,3.2
4.545,0,0,3.2
4.55,0,0,3.2
4.555,0,0,3.2
4.5600000000000005,0,0,3.2
4.565,0,0,3.2
4.57,0,0,3.2
4.575,0,0,3.2
4.58,0,0,3.2
4.585,0,0,3.2
4.59,0,0,3.2
4.595,0,0,3.2
4.6000000000000005,0,0,3.2
4.605,0,0,3.2
4.61,0,0,3.2
4.615,0,0,3.2
4.62,0,0,3.2
4.625,0,0,3.2
4.63,0,0,3.2
4.635,0,0,3.2
4.64,0,0,3.2
4.6450000000000005,0,0,3.2
4.65,0,0,3.2
4.655,0,0,3.2
4.66,0,0,3.2
4.665,0,0,3.2
4.67,0,0,3.2
4.675,0,0,3.2
4.68,0,0,3.2
4.6850000000000005,0,0,3.2
4.69,0,0,3.2
4.695,0,0,3.2
4.7,0,0,3.2
4.705,0,0,3.2
4.71,0,0,3.2
4.715,0,0,3.2
4.72,0,0,3.2
4.7250000000000005,0,0,3.2
4.73,0,0,3.2
4.735,0,0,3.2
4.74,0,0,3.2
4.745,0,0,3.2
4.75,0,0,3.2
4.755,0,0,3.2
4.76,0,0,3.2
4.765,0,0,3.2
4.7700000000000005,0,0,3.2
4.775,0,0,3.2
4.78,0,0,3.2
4.785,0,0,3.2
4.79,0,0,3.2
4.795,0,0,3.2
4.8,0,0,3.2
4.805,0,0,3.2
4.8100000000000005,0,0,3.2
4.815,0,0,3.2
4.82,0,0,3.2
4.825,0,0,3.2
4.83,0,0,3.2
4.835,0,0,3.2
4.84,0,0,3.2
4.845,0,0,3.2
4.8500000000000005,0,0,3.2
4.855,0,0,3.2
4.86,0,0,3.2
4.865,0,0,3.2
4.87,0,0,3.2
4.875,0,0,3.2
4.88,0,0,3.2
4.885,0,0,3.2
4.89,0,0,3.2
4.8950000000000005,0,0,3.2
4.9,0,0,3.2
4.905,0,0,3.2
4.91,0,0,3.2
4.915,0,0,3.2
4.92,0,0,3.2
4.925,0,0,3.2
4.93,0,0,3.2
4.9350000000000005,0,0,3.2
4.94,0,0,3.2
4.945,0,0,3.2
4.95,0,0,3.2
4.955,0,0,3.2
4.96,0,0,3.2
4.965,0,0,3.2
4.97,0,0,3.2
4.9750000000000005,0,0,3.2
4.98,0,0,3.2
4.985,0,0,3.2
4.99,0,0,3.2
4.995,0,0,3.2
